 ,AAPL,BARC,BRK-B,MCD,TSCO.L,WWE,MSFT,CSIOY,ARW,HIBB,YUM,WINA,DRI,GPC,ALL,AIG,BAC,CB,DIS,JACK,JPM,PGR,UVV,EA
Averages,100.40426048808588,191.44624103916175,132.57843930301846,102.96820134233519,251.05284363963565,23.197317336775214,50.60165140905476,111.33702923153299,54.327057186656084,37.055440793089787,53.60027046266886,86.116951954725891,55.1721330194598,69.945153909849168,56.466022453931743,43.062697377283541,16.614729662430488,91.622683047259869,75.627775230341612,56.645644277998514,59.412828181096025,30.950362058776776,41.807834544448887,55.010178696981747
Volatility,54.624347059806475,34.595181874706327,46.508675190847811,44.087745855135921,64.234529064127656,23.327746703923147,33.164123013677212,42.362456189248178,17.563266281917794,14.366899666675012,23.129128828538164,44.529198803948802,28.512188989739556,22.17692181292006,26.115962850685172,12.563819897446225,7.2460107440074122,36.545909946598584,33.111599942845857,29.912385153885317,28.215069982802348,19.085215413989566,10.834345804898339,38.49057195175164

 ,AAPL,BARC,BRK-B,MCD,TSCO.L,WWE,MSFT,CSIOY,ARW,HIBB,YUM,WINA,DRI,GPC,ALL,AIG,BAC,CB,DIS,JACK,JPM,PGR,UVV,EA
AAPL,1.0,-0.34188392465048822,0.95282347100887477,0.9430497776399045,-0.65358097711073926,0.83261674002979291,0.94994749624858044,0.69495174358702494,0.88457226295841285,-0.50143403916485951,0.9594029564161688,0.96057225832931337,0.95668032314874973,0.85847990501268601,0.95877854982869604,0.70288287329118881,0.8782531221992057,0.91912238087853104,0.89978539898440713,0.82096959059359953,0.95768653943009729,0.94148217518737776,0.82487413164999923,0.89694035173978481
BARC,-0.34188392465048822,1.0,-0.22148627574770069,-0.42283671439135251,0.29101357016308677,-0.35133879271028412,-0.37674725870821352,-0.025067584724762969,-0.20829307364370978,0.22531171251627766,-0.36957121429811551,-0.33877990492718957,-0.3740458712075907,-0.24618895236488025,-0.2279072430247408,0.056547681858035916,-0.07568329424102381,-0.28118631996753596,-0.18433220462965885,-0.12936992256545254,-0.2367395203959968,-0.35815108756431907,-0.1929351527629096,-0.2508225283719468
BRK-B,0.95282347100887477,-0.22148627574770069,1.0,0.92757788558530807,-0.70155017478167514,0.7933263745352338,0.92437302878037853,0.75387301220356129,0.94319668565821813,-0.50633915762409265,0.93947716218966615,0.96393578631599952,0.93302025458744331,0.92376383203077406,0.98872706602955618,0.79960082468077864,0.91695647624671095,0.96236496042537922,0.93855066104970863,0.89288432887214775,0.97203185138494885,0.92051374889914972,0.86171874332434317,0.91900623257862823
MCD,0.9430497776399045,-0.42283671439135251,0.92757788558530807,1.0,-0.59079292534264138,0.85280689917788166,0.97401601023741591,0.58236224037233708,0.84857925079521679,-0.57679133984299047,0.97802557324441597,0.9613928705583662,0.97453793493706686,0.82184303215039489,0.93469211424894694,0.63227737322786626,0.86903412435704785,0.91193326520752482,0.85739138553533101,0.75473768788912843,0.95253975015463832,0.97611364317752114,0.82765558549669482,0.86239674945385714
TSCO.L,-0.65358097711073926,0.29101357016308677,-0.70155017478167514,-0.59079292534264138,1.0,-0.32056038943177273,-0.54045182660793145,-0.8306943007261145,-0.76281126284466272,0.32828299788956311,-0.59940773310277906,-0.69200188341526858,-0.58110354160258559,-0.77915097134024647,-0.71154544649837204,-0.78431982938542855,-0.50018508975306508,-0.79294276070305725,-0.79231081657276725,-0.85768579527586331,-0.60626219135897785,-0.5107273634217272,-0.6476142386660011,-0.73628858676422582
WWE,0.83261674002979291,-0.35133879271028412,0.7933263745352338,0.85280689917788166,-0.32056038943177273,1.0,0.91753566200088199,0.41879945514194089,0.64389366989503838,-0.58465481779857076,0.84863071408826118,0.83119037787129768,0.8993344857035227,0.64645289480068469,0.76447594333858304,0.36598015282466445,0.82460828506492678,0.67529915060337087,0.68486159008645242,0.52540165589324639,0.84574670949150099,0.92176235640799553,0.68774017779660401,0.69688277654948805
MSFT,0.94994749624858044,-0.37674725870821352,0.92437302878037853,0.97401601023741591,-0.54045182660793145,0.91753566200088199,1.0,0.58136775058630008,0.81327158107914677,-0.61795097152041045,0.96593498398312705,0.94616184114112634,0.98034165831671505,0.79099804940455598,0.92352904746110731,0.59967304381415898,0.91069638915469797,0.87141223804342427,0.8474206421727094,0.72932930490978853,0.9624463697464839,0.99034325834014514,0.79876978859264935,0.84932496953190761
CSIOY,0.69495174358702494,-0.025067584724762969,0.75387301220356129,0.58236224037233708,-0.8306943007261145,0.41879945514194089,0.58136775058630008,1.0,0.78609515884564174,-0.30259597370858077,0.61584370937033184,0.70712219407189247,0.60124898208207456,0.80215233934665109,0.75816032871571026,0.85643709785900224,0.59740273815172262,0.78452477487613848,0.86240817400125247,0.85565613640125182,0.6598506002768848,0.55454205272476509,0.65734108470416841,0.75406696733453737
ARW,0.88457226295841285,-0.20829307364370978,0.94319668565821813,0.84857925079521679,-0.76281126284466272,0.64389366989503838,0.81327158107914677,0.78609515884564174,1.0,-0.4117956715562231,0.86342984751291874,0.91358166728829782,0.84016139346817686,0.92541923637489276,0.94521135348934049,0.85948376161743378,0.8312183263442251,0.95947564495596704,0.91286346345482616,0.9255506428474678,0.90201381944781833,0.80613212981913596,0.84884551298318456,0.91497657270340416
HIBB,-0.50143403916485951,0.22531171251627766,-0.50633915762409265,-0.57679133984299047,0.32828299788956311,-0.58465481779857076,-0.61795097152041045,-0.30259597370858077,-0.4117956715562231,1.0,-0.46799063401673585,-0.49139492396906487,-0.61323078079675797,-0.23260408844276823,-0.50480868730481887,-0.23646800311051952,-0.67469395327903314,-0.43433403205977733,-0.38119204006272611,-0.40117438573507891,-0.60195242582465547,-0.60773246531994674,-0.40467183277436669,-0.62729761172651477
YUM,0.9594029564161688,-0.36957121429811551,0.93947716218966615,0.97802557324441597,-0.59940773310277906,0.84863071408826118,0.96593498398312705,0.61584370937033184,0.86342984751291874,-0.46799063401673585,1.0,0.97072354307623498,0.96384592370432054,0.86437364106652526,0.94542885542711252,0.67478328543110755,0.85642084466490065,0.92008860624977273,0.89389361685040813,0.78309431154574916,0.94750994376719122,0.96630759564919666,0.82720675736582738,0.84220057538861759
WINA,0.96057225832931337,-0.33877990492718957,0.96393578631599952,0.9613928705583662,-0.69200188341526858,0.83119037787129768,0.94616184114112634,0.70712219407189247,0.91358166728829782,-0.49139492396906487,0.97072354307623498,1.0,0.96167907127596719,0.91277634577154398,0.96303600358629626,0.74486786864216925,0.86617847183652308,0.95449423076441631,0.93278965617102894,0.85661676764793415,0.95576973561714984,0.94415571705184098,0.87854922924440371,0.89886797976070976
DRI,0.95668032314874973,-0.3740458712075907,0.93302025458744353,0.97453793493706686,-0.58110354160258559,0.8993344857035227,0.98034165831671516,0.60124898208207467,0.84016139346817686,-0.61323078079675808,0.96384592370432076,0.96167907127596719,1.0000000000000002,0.80988964603371305,0.93110960439955448,0.62724162336428524,0.89991243726230841,0.89050542090917473,0.86124685652506094,0.76688188012195901,0.96392509460818654,0.98116814771286742,0.83444237044298886,0.88298553473104058
GPC,0.85847990501268601,-0.24618895236488025,0.92376383203077406,0.82184303215039489,-0.77915097134024647,0.64645289480068469,0.79099804940455598,0.80215233934665109,0.92541923637489276,-0.23260408844276823,0.86437364106652526,0.91277634577154398,0.80988964603371305,1.0,0.91400369321292807,0.84484933947325036,0.72505261697675782,0.94573620702673611,0.94687713682482066,0.90288151784058979,0.8365554201965657,0.78325883317982314,0.84523273023318468,0.81528077534588728
